,station_code,agency_name,station_name,address,etc_address,longitude,latitude,location
51,10184180,환경부,성남시(성남북초교),경기도 성남시,수정구 희망로 534번길 3 성남북초등학교,127-09-05,37-27-05 ,"[37.45138888888889, 127.15138888888889]"
52,10184190,환경부,서울시(동막골주차장),서울특별시 노원구,덕릉로 897 동막골 주차장,127-05-09,37-40-29 ,"[37.67472222222222, 127.08583333333333]"
53,10184200,환경부,서울시(월계2교),서울특별시 노원구,월계동 월계2교,127-03-00,37-37-27 ,"[37.62416666666667, 127.05]"
54,10184210,환경부,의왕시(포일동),경기도 의왕시,포일동157 (의왕축구장인근),126-59-17,37-23-20 ,"[37.388888888888886, 126.98805555555556]"
55,10184220,환경부,남양주시(진접읍사무소),경기도 남양주시,진접읍 금강로 1509-26 진접읍사무소,127-11-24,37-43-33 ,"[37.725833333333334, 127.19]"
56,10184230,환경부,성남시(구미초교),경기도 성남시,분당구 미금로 22번길 25 구미초등학교,127-07-04,37-20-15 ,"[37.337500000000006, 127.11777777777777]"
57,10184232,한국수력원자력,팔당댐,경기도 남양주시,조안면 다산로 320,127-17-00,37-31-38 ,"[37.52722222222222, 127.28333333333333]"
58,10194010,환경부,김포시(김포시청),경기도 김포시,사우중로 1 김포시청,126-42-56,37-36-55 ,"[37.61527777777778, 126.71555555555555]"
59,10194020,한국수자원공사,귤현보,인천광역시 계양구 귤현동,59-9,126-46-2 ,37-34-9  ,"[37.56916666666667, 126.76722222222222]"
60,10194030,한국수자원공사,아라김포TM,서울특별시 강서구 개화동,22-3,126-47-57,37-36-0  ,"[37.6, 126.79916666666666]"
61,10204010,환경부,연천군(고문분교),경기도 연천군,연천읍 현문로 459 고문분교,127-06-46,38-03-55 ,"[38.06527777777777, 127.11277777777777]"
62,10204020,환경부,연천군(상리초교),경기도 연천군,연천읍 상리로 70 상리초등학교,127-04-31,38-08-07 ,"[38.13527777777778, 127.07527777777777]"
63,10214010,환경부,연천군(임진교),경기도 연천군,군남면 진상리 임진교,127-01-03,38-03-23 ,"[38.05638888888888, 127.0175]"
64,10214020,한국수자원공사,연천군(횡산리),경기도 연천군 중면,횡산리 238,126-59-12,38-06-59 ,"[38.11638888888889, 126.98666666666666]"
65,10214030,한국수자원공사,연천군(군남댐),경기도 연천군 군남면,선곡리 627-2,127-01-16,38-06-13 ,"[38.103611111111114, 127.02111111111111]"
66,10224010,환경부,포천시(용담교),경기도 포천시,영북면 자일리 1024-70 용담교,127-16-18,38-07-27 ,"[38.12416666666667, 127.27166666666666]"
67,10224020,환경부,포천시(영송리),경기도 포천시,영중면 영송리 549-6,127-12-59,38-00-34 ,"[38.00944444444445, 127.21638888888889]"
68,10224040,환경부,포천시(포천노곡초교),경기도 포천시,이동면 성장로 869번길 4 포천노곡초등학교,127-20-11,38-00-29 ,"[38.00805555555556, 127.33638888888889]"
69,10224050,환경부,양주시(봉암초교),경기도 양주시,은현면 삼육사로 473 봉암초등학교,127-00-19,37-54-39 ,"[37.91083333333333, 127.00527777777778]"
70,10224060,환경부,포천시(포천삼정초교),경기도 포천시,신북면 청신로 947번길 17 삼정초등학교,127-07-52,37-57-49 ,"[37.96361111111111, 127.13111111111111]"
71,10224070,환경부,포천시(송우초교),경기도 포천시,소홀읍 송우로 42 송우초등학교,127-08-36,37-49-48 ,"[37.830000000000005, 127.14333333333335]"
72,10224090,환경부,포천시(화현초교),경기도 포천시,화현면 달인동로1길 29 화현초등학교,127-17-07,37-54-08 ,"[37.90222222222222, 127.28527777777778]"
73,10234010,환경부,파주시(통일대교),경기도 파주시,문산읍 마정리 통일대교,126-44-31,37-54-15 ,"[37.90416666666667, 126.74194444444444]"
74,10234020,환경부,파주시(법원리),경기도 파주시,법원읍 술이홀로 970-9 법원읍행정복지센터,126-52-47,37-51-25 ,"[37.856944444444444, 126.87972222222221]"
75,10234030,환경부,파주시(신산초교),경기도 파주시,광탄면 심궁로 13 신산초등학교,126-51-07,37-46-51 ,"[37.780833333333334, 126.85194444444444]"
76,10234040,환경부,파주시(용연초교),경기도 파주시,파평면 청송로 402번길 31 용연초등학교,126-51-28,37-55-43 ,"[37.92861111111111, 126.85777777777777]"
77,11014010,환경부,평택시(진위면사무소),경기도 평택시,진위면 봉남길 61 진위면사무소,127-05-25,37-05-57 ,"[37.09916666666667, 127.09027777777777]"
78,11014020,환경부,안성시(안성시청),경기도 안성시,시청길 25 안성시청,127-16-44,37-00-29 ,"[37.00805555555556, 127.27888888888889]"
79,11014030,환경부,용인시(원삼면사무소),경기도 용인시,처인구 원삼면 원양로 64 원삼면사무소,127-18-47,37-09-58 ,"[37.16611111111111, 127.31305555555555]"
80,11014040,환경부,화성시(양감면사무소),경기도 화성시,양감면 초록로 7 양감면사무소,126-56-46,37-04-55 ,"[37.081944444444446, 126.94611111111111]"
81,11014060,환경부,화성시(수원대학교),경기도 화성시,봉담읍 와우안길 17 수원대학교(IT대학),126-58-47,37-12-37 ,"[37.21027777777778, 126.97972222222222]"
82,11014070,환경부,평택시(회화리),경기도 평택시,서탄면 회화리 388,127-01-44,37-05-46 ,"[37.096111111111114, 127.02888888888889]"
83,11014080,환경부,평택시(군문교),경기도 평택시,군문동 군문교,127-04-48,36-59-01 ,"[36.98361111111111, 127.08]"
84,11014090,환경부,용인시(신갈저수지),경기도 용인시,기흥구 고매동 산 87-1 신갈저수지 제방,127-05-38,37-13-34 ,"[37.226111111111116, 127.09388888888888]"
85,11014100,환경부,용인시(이동면사무소),경기도 용인시,처인구 이동면 경기동로 673 이동면사무소,127-11-45,37-08-30 ,"[37.141666666666666, 127.19583333333334]"
86,11014120,환경부,안성시(삼암리),경기도 안성시,양성면 삼암리 195-5,127-12-12,37-01-45 ,"[37.02916666666667, 127.20333333333333]"
87,11014130,환경부,안성시(안성서운중교),경기도 안성시,서운면 바우덕이로 2 안성서운중학교,127-15-47,36-56-41 ,"[36.94472222222222, 127.26305555555555]"
88,11014140,환경부,파주시(적암초교),경기도 파주시,적성면 율곡로 3042 적암초등학교,127-00-15,37-59-16 ,"[37.98777777777778, 127.00416666666666]"
89,12014010,한국수자원공사,아라인천TM,인천광역시 서구 오류동,1580-2,126-37-6 ,37-33-50 ,"[37.56388888888888, 126.61833333333333]"
90,12024010,환경부,안산시(안산호동초교),경기도 안산시,상록구 성호로 70 안산호동초등학교,126-51-52,37-18-44 ,"[37.31222222222222, 126.86444444444444]"
91,12024020,환경부,안산시(장상동),경기도 안산시,상록구 장상동 523 (동막골),126-52-51,37-21-03 ,"[37.350833333333334, 126.88083333333333]"
