,교량명,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
1632,청계IC교,경기도,의왕시,37.368228,126.999272,37.368437,126.999315,4.2
1633,포일6교,경기도,의왕시,37.385475,126.99981499999998,37.385616,126.999858,5.6
1634,학의JCT램프3교,경기도,의왕시,37.38194,126.999811,37.384757,127.001037,30.0
1635,제비울교(하),경기도,과천시,37.409036,126.994284,37.409121,126.99423,5.0
1636,군자대교(상행),경기도,시흥시,37.382243,126.718238,37.38027,126.72611,15.1
1637,하중2교,경기도,시흥시,37.388604,126.806408,37.388617,126.806665,6.3
1638,금이1교,경기도,시흥시,37.391707,126.831022,37.391792,126.831376,4.5
1639,금이2교,경기도,시흥시,37.393203,126.837537,37.39331,126.838004,4.7
1640,논곡교,경기도,시흥시,37.396472,126.856337,37.396527,126.856809,5.4
1641,달월대교(상),경기도,시흥시,37.382314,126.740516,37.384428,126.744679,11.1
1642,도리JCT교,경기도,시흥시,37.395666,126.845412,37.395777,126.84555,5.4
1643,도리JCT Ramp-A교,경기도,시흥시,37.396966,126.846967,37.397194,126.847468,5.0
1644,도리JCT Ramp-G교,경기도,시흥시,37.394343,126.844223,37.395093,126.844979,11.0
1645,목감IC Ramp-D교,경기도,시흥시,37.396636,126.868191,37.396619,126.867172,5.2
1646,보통천교,경기도,시흥시,37.389499,126.821246,37.38967,126.821959,4.5
1647,서울외곽금이1교,경기도,시흥시,37.399201,126.844496,37.398598,126.84516200000002,19.0
1648,연성IC Ramp-E교,경기도,시흥시,37.389467,126.797271,37.389113,126.796906,4.1
1649,연성IC교,경기도,시흥시,37.388523,126.797121,37.38854,126.798076,5.6
1650,월곶JCT Ramp-D1교,경기도,시흥시,37.385765,126.757172,37.385885,126.756979,5.1
1651,월곶JCT Ramp-D2교,경기도,시흥시,37.38903,126.751373,37.388404,126.750268,6.6
1652,월곶JCT Ramp-E교,경기도,시흥시,37.386874,126.756496,37.387619,126.75707,5.3
1653,월곶JCT Ramp-F교,경기도,시흥시,37.389691,126.749898,37.390867,126.748246,5.0
1654,월곶JCT Ramp-H1교,경기도,시흥시,37.390616,126.747704,37.389384,126.749324,5.3
1655,월곶JCT Ramp-H2교,경기도,시흥시,37.385412,126.756643,37.385341,126.756804,5.0
1656,월곶JCT Ramp-I교,경기도,시흥시,37.389923,126.748409,37.389066,126.749219,5.3
1657,월곶1교(상),경기도,시흥시,37.387334,126.75228,37.387666,126.753867,6.6
1658,월곶2교(상),경기도,시흥시,37.387965,126.755648,37.388093,126.756861,8.3
1659,월곶3교,경기도,시흥시,37.388267,126.76384,37.38828,126.76413,3.3
1660,월곶철도육교,경기도,시흥시,37.385281,126.746551,37.38563900000001,126.747334,13.2
1661,장곡교,경기도,시흥시,37.388412,126.780174,37.388429,126.780453,5.0
1662,장곡천교,경기도,시흥시,37.388485,126.788999,37.388493,126.789326,5.0
1663,정왕IC Ramp-A1교,경기도,시흥시,37.377232,126.739158,37.377266,126.738772,3.3
1664,정왕IC Ramp-A2교,경기도,시흥시,37.37999,126.731063,37.38036500000001,126.731074,5.1
1665,창곡교,경기도,시흥시,37.388446,126.783645,37.388455,126.7846,5.0
1666,하상교,경기도,시흥시,37.388886,126.817354,37.388992,126.818201,5.3
1667,하중1교,경기도,시흥시,37.388557,126.803793,37.388579,126.804259,5.3
1668,군자대교(하),경기도,시흥시,37.381831,126.717218,37.38023,126.726065,15.1
1669,달월대교(하),경기도,시흥시,37.384863,126.745148,37.382582,126.740549,11.1
1670,월곶1교(하),경기도,시흥시,37.387683,126.753692,37.387306,126.752349,6.6
1671,월곶2교(하),경기도,시흥시,37.388206,126.756869,37.388027,126.755416,8.3
1672,달월대교(상행확장),경기도,시흥시,37.382299,126.740623,37.384588,126.745166,5.0
1673,송방천3교,경기도,화성시,37.168687,127.106705,37.170142,127.106696,5.0
1674,송방천4교,경기도,화성시,37.168962,127.11609,37.169412,127.116322,5.0
1675,송방천5교,경기도,화성시,37.168124,127.11797,37.168944,127.118455,5.0
1676,서수원I.CRamp-D교(부체도로),경기도,수원시 권선구,37.292807,126.948953,37.292792,126.949521,2.9
1677,영연교,경기도,수원시 장안구,37.291077,127.021218,37.29122,127.020952,2.5
1678,효행교,경기도,수원시 장안구,37.319894,126.988,37.320001,126.987949,2.0
1679,경기교,경기도,수원시 장안구,37.30009,127.028931,37.29996,127.029286,3.0
1680,율전교,경기도,수원시 장안구,37.300354,126.972507,37.299895,126.972398,12.7
1681,노송교,경기도,수원시 장안구,37.315178,126.984793,37.315082,126.984894,2.0
1682,여의교,경기도,수원시 장안구,37.298093,126.997733,37.297931,126.998195,4.5
1683,연무교,경기도,수원시 장안구,37.290834,127.020384,37.290667,127.020624,3.0
1684,일왕교,경기도,수원시 장안구,37.296823,126.996583,37.29671,126.9968,4.5
1685,노루교,경기도,수원시 장안구,37.305046,126.982139,37.305068,126.982525,2.2
1686,꽃뫼버들교,경기도,수원시 장안구,37.289465,126.986383,37.289078,126.98676,3.5
1687,창성교,경기도,수원시 장안구,37.334194,127.017115,37.334053,127.017056,2.5
1688,사기막다리교,경기도,수원시 장안구,37.329773,127.014403,37.329782,127.014725,2.5
1689,수루레미다리교,경기도,수원시 장안구,37.327367,127.014504,37.327196,127.014769,3.0
1690,용머리다리교,경기도,수원시 장안구,37.323587,127.015107,37.323628,127.015367,2.5
1691,목네미다리교,경기도,수원시 장안구,37.316588,127.018764,37.316277,127.019051,3.0
1692,방화2교,경기도,수원시 장안구,37.288893,127.01781,37.288676,127.018185,2.3
1693,서둔교,경기도,수원시 권선구,37.272951,126.986184,37.272793,126.986804,3.5
1694,오목천교,경기도,수원시 권선구,37.24747,126.969006,37.247658,126.969655,3.5
1695,중보교,경기도,수원시 권선구,37.254641,126.993574,37.255004,126.994044,7.8
1696,고색교,경기도,수원시 권선구,37.235745,126.98283700000002,37.234375,126.983434,6.8
1697,곡반정교,경기도,수원시 권선구,37.244991,127.039983,37.244918,127.040484,8.1
1698,금곡2교,경기도,수원시 권선구,37.266323,126.94877,37.266584,126.948802,12.0
1699,금곡교,경기도,수원시 권선구,37.272745,126.961423,37.273111,126.962223,4.5
1700,농심교,경기도,수원시 권선구,37.279917,126.95963799999998,37.280102,126.96006,5.0
1701,대황교,경기도,화성시,37.22722,127.02346599999998,37.226656,127.02377,6.0
1702,목장교,경기도,수원시 권선구,37.242275,126.971207,37.242527,126.971337,3.0
1703,버드내교,경기도,수원시 권선구,37.257382,127.009027,37.257294,127.009246,3.5
1704,유천1교,경기도,수원시 권선구,37.25918400000001,127.010027,37.25915,127.010281,3.5
1705,유천2교,경기도,수원시 권선구,37.263004,127.012006,37.262946,127.012347,6.0
1706,유천교,경기도,수원시 팔달구,37.265101,127.013514,37.265043,127.013624,3.8
1707,평고교,경기도,수원시 권선구,37.256391,126.99183899999998,37.256654,126.992084,4.5
1708,호매실교,경기도,수원시 권선구,37.258116,126.966782,37.258308,126.967258,4.5
1709,호매실I.C교,경기도,화성시,37.248338,126.949505,37.248221,126.94957,12.0
1710,연결교량 남측 진출 램프,경기도,수원시 권선구,37.266812,126.998312,37.26626,126.998616,0.0
1711,연결교량 북측 진출 램프,경기도,수원시 권선구,37.26471,126.99956,37.265127,126.999281,0.0
1712,수원육교(구),경기도,수원시 팔달구,37.27003,126.997305,37.269897,126.997967,6.5
1713,수원육교(신),경기도,수원시 권선구,37.269801,126.997399,37.269654,126.99812,6.5
1714,매교,경기도,수원시 팔달구,37.271467,127.01718,37.271291,127.017574,3.5
1715,매향1교,경기도,수원시 팔달구,37.285275,127.017564,37.28532,127.017958,3.0
1716,수원교,경기도,수원시 팔달구,37.27526,127.019512,37.275264,127.019974,5.9
1717,지동교,경기도,수원시 팔달구,37.277632,127.018777,37.277677,127.019152,3.5
1718,U턴교(1),경기도,수원시 팔달구,37.275485,127.019526,37.27557,127.019929,3.5
1719,구천교,경기도,수원시 팔달구,37.273982,127.019517,37.273798,127.018846,3.5
1720,U턴교(2),경기도,수원시 팔달구,37.271701,127.01738,37.271493,127.017769,3.5
1721,새마을교,경기도,수원시 팔달구,37.270086,127.016551,37.270005,127.016788,3.5
1722,동수원고가차도,경기도,수원시 팔달구,37.27373,127.029315,37.281445,127.029823,0.0
1723,우만고가교,경기도,수원시 팔달구,37.2761,127.037564,37.279481,127.037427,0.0
1724,성죽2교,경기도,수원시 영통구,37.305246,127.045491,37.305428000000006,127.045466,3.5
1725,수내고가교A,경기도,성남시 분당구,37.377461,127.114715,37.377207,127.115036,6.0
1726,수내고가교B,경기도,성남시 분당구,37.378013,127.115495,37.377746,127.115833,6.0
1727,수내고가차도C,경기도,성남시 분당구,37.377791,127.114258,37.378391,127.115171,6.0
1728,섬말 Ramp B교,경기도,성남시 중원구,37.418995,127.156695,37.419501,127.156238,4.5
1729,섬말 Ramp A교,경기도,성남시 중원구,37.419468,127.15543,37.418965,127.155935,10.0
1730,섬말교(상행),경기도,성남시 중원구,37.42064,127.154775,37.418682,127.156606,22.0
1731,대원1육교,경기도,성남시 중원구,37.423972,127.152341,37.423972,127.152341,5.0
1732,여수천교,경기도,성남시 분당구,37.414377,127.122551,37.414076,127.12257,0.0
1733,금토교,경기도,성남시 수정구,37.408135,127.093176,37.408254,127.093617,0.0
1734,내정교,경기도,성남시 분당구,37.380491,127.119233,37.380923,127.119956,0.0
1735,당우교,경기도,성남시 분당구,37.375781,127.134366,37.37537,127.134867,0.0
1736,대장2교,경기도,용인시 수지구,37.360831,127.059496,37.360662,127.059491,0.0
1737,독정천교,경기도,성남시 수정구,37.440034,127.122206,37.439564,127.122149,0.0
1738,동막교,경기도,성남시 분당구,37.343553,127.105925,37.342904,127.105953,0.0
1739,동막천1교,경기도,성남시 분당구,37.343644,127.104447,37.343063,127.10448,0.0
1740,동원2교,경기도,성남시 분당구,37.351762,127.082319,37.351419,127.082655,0.0
1741,동원3교,경기도,성남시 분당구,37.34863,127.089091,37.348374,127.088879,0.0
1742,매송2교,경기도,성남시 분당구,37.399209,127.119974,37.39859600000001,127.120046,0.0
1743,매송교,경기도,성남시 분당구,37.398958,127.123571,37.398494,127.123553,0.0
1744,목련교,경기도,성남시 분당구,37.408346,127.140001,37.408161,127.140074,0.0
1745,미금교,경기도,성남시 분당구,37.35054,127.120472,37.350611,127.121522,0.0
1746,방아교,경기도,성남시 분당구,37.399196,127.12376299999998,37.399199,127.124977,0.0
