,station_code,agency_name,station_name,address,etc_address,longitude,latitude
87,10064030,환경부,양평군(양동주민자치센터),경기도 양평군,양동면 학둔지아래길 24 양동주민자치센터,127-45-05,37-25-28 
97,10074010,환경부,양평군(양평교),경기도 양평군,양평읍 양근리 양평교,127-29-24,37-29-11 
98,10074020,환경부,장호원,경기도 이천군 장호원읍,창전리 읍사무소,127-37-00,37-01-00 
99,10074030,환경부,여주시(여주대교),경기도 여주시,상동 여주대교 상류 좌안,127-38-53,37-17-43 
100,10074040,환경부,양평군(청운면사무소),경기도 양평군,청운면 용두로 170 청운면사무소,127-42-38,37-33-23 
102,10074060,환경부,이천시(이천남초교),경기도 이천시,경충대로 2614번길 32 이천남초등학교,127-26-35,37-16-37 
103,10074070,환경부,여주시(금당초교),경기도 여주시,가남읍 가남로 649 금당초등학교,127-36-20,37-11-51 
104,10074080,환경부,안성시(삼죽초교),경기도 안성시,삼죽면 삼죽초교길 20 삼죽초등학교,127-22-28,37-04-36 
105,10074090,환경부,이천시(장천초교),경기도 이천시,설성면 설성로 164-25 장천초등학교,127-31-39,37-08-45 
106,10074100,환경부,여주시(주암리),경기도 여주시,북내면 주암길225-3 (구)주암분교,127-40-46,37-23-50 
107,10074110,환경부,광주시(검천리),경기도 광주시,남종면 검천리 459,127-20-46,37-31-52 
108,10074120,환경부,여주시(상품중교),경기도 여주시,산북면 상품1길 28 상품중학교,127-26-23,37-24-07 
109,10074170,한국수력원자력,흑천,경기도 양평군,양평읍 원덕리,127-32-35,37-27-51 
110,10074175,한국수력원자력,남한강,경기도 여주군,강천면 이호리,127-41-12,37-10-59 
149,10134020,환경부,가평군(가평교),경기도 가평군,가평읍 읍내리 가평교,127-31-05,37-49-53 
150,10134030,환경부,가평군(화악교),경기도 가평군,북면 소법리 화악교,127-33-58,37-55-17 
152,10134045,한국수력원자력,목동교,경기도 가평군,북면목동리,127-32-54,37-52-59 
153,10134140,한국수력원자력,가평천,경기도 가평군,북면 개곡리,127-31-40,37-52-29 
168,10154010,환경부,가평군(하면사무소),경기도 가평군,조종면 조종내길 71 (조종면사무소로 명칭 변경),127-21-13,37-49-04 
169,10154020,환경부,가평군(신청평대교),경기도 가평군,청평면 삼회리 산90 신청평대교인근,127-23-48,37-42-46 
170,10154030,환경부,가평군(중미산),경기도 가평군,설악면 가일리 산 65-37 중미산고개,127-28-39,37-35-34 
171,10154032,한국수력원자력,청평댐,경기도 가평군,설악면 유명로 2630,127-25-14,37-43-22 
172,10154035,한국수력원자력,산장제1교,경기도 가평군,상면덕현리,127-24-37,37-45-18 
173,10164010,환경부,광주시(광주시청),경기도 광주시,행정타운로 50 광주시청,127-15-17,37-25-46 
174,10164020,환경부,광주시(남한산초교),경기도 광주시,중부면 남한산성로 770 남한산초등학교,127-11-10,37-28-41 
175,10164030,환경부,용인시(포곡초교),경기도 용인시,처인구 포곡읍 부곡로 24 포곡초등학교,127-13-12,37-16-52 
176,10164040,환경부,용인시(운학초교),경기도 용인시,처인구 동부로 465번길 7 운학초등학교,127-14-43,37-12-10 
177,10164050,환경부,용인시(모현면사무소),경기도 용인시,처인구 모현면 독점로 31-6 모현면사무소,127-14-34,37-19-47 
178,10164060,환경부,용인시(용동중교),경기도 용인시,처인구 양지면 남곡로 26 용동중학교,127-17-02,37-13-53 
179,10164070,환경부,용인시(역삼동주민센터),경기도 용인시,처인구 명지로 16 역삼동주민센터,127-11-13,37-14-01 
