,station_code,station_name,address,etc_address,longitude,latitude,location
123,1101670,평택시(동연교),경기도 평택시,고덕면 동청리 동연교 하류 좌안,126-59-51,37-03-09 ,"[37.052499999999995, 126.9975]"
124,1101675,궁안교,경기도 평택시 고덕면,관안리 ,127-01-00,37-01-00 ,"[37.016666666666666, 127.01666666666667]"
125,1101680,평택시(팽성대교),경기도 평택시,팽성읍 원정리 팽성대교,127-02-01,36-58-41 ,"[36.97805555555556, 127.03361111111111]"
126,1101685,아산호,경기도 평택시 오성면,길음리 길음양수장,126-58-33,36-58-05 ,"[36.96805555555556, 126.97583333333334]"
127,1101690,노양,경기도 평택시 ,노양리 ,127-00-00,36-56-00 ,"[36.93333333333333, 127.0]"
128,1101695,아산만(내),경기도 평택시,안중읍 안중리 42-60,126-55-41,36-58-48 ,"[36.980000000000004, 126.92805555555556]"
129,1101696,아산만(외),경기도 평택시,안중읍 안중리 42-60,126-55-41,36-58-48 ,"[36.980000000000004, 126.92805555555556]"
130,1201620,강화군(강화대교),인천광역시 강화군,강화읍 갑곶리 강화대교,126-31-20,37-43-55 ,"[37.731944444444444, 126.52222222222223]"
131,1201651,아라서해갑문(내),인천광역시 서구,경서로 31번길 1,126-36-15,37-33-40 ,"[37.56111111111111, 126.60416666666666]"
132,1201652,아라서해갑실(남),인천광역시 서구,경서로 31번길 1,126-36-11,37-33-38 ,"[37.56055555555555, 126.60305555555556]"
133,1201653,아라서해갑문(외),인천광역시 서구,경서로 31번길 1,126-36-5 ,37-33-37 ,"[37.56027777777778, 126.60138888888888]"
134,1201654,아라서해갑실(북),인천광역시 서구,경서로 31번길 1,126-36-10,37-33-40 ,"[37.56111111111111, 126.60277777777777]"
135,1202630,반월2,경기도 안산시,장상2동,126-52-30,37-20-54 ,"[37.348333333333336, 126.875]"
136,1202660,반월1,경기도 안산시상록구 성포동,노적봉공원내,126-51-25,37-19-22 ,"[37.32277777777778, 126.85694444444444]"
137,1202670,남양(외),경기도 평택시 포승면,원정리 ,126-48-00,37-00-02 ,"[37.00055555555556, 126.8]"
