교량명,도로노선명,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
중원교,지방도341호선,경기도,양평군,41830,경기도 양평군 용문면 중원리,37.5325,127.624298,37.532791,127.624205,2.5
지제교,지방도341호선,경기도,양평군,41830,경기도 양평군 지평면 지평리,37.474347,127.643688,37.474262,127.644205,2
진등1교,지방도349호선,경기도,양평군,41830,경기도 양평군 양동면 단석리,37.384937,127.744335,37.38547,127.744699,4.5
진등2교,지방도349호선,경기도,양평군,41830,경기도 양평군 양동면 단석리,37.386757,127.745465,37.387324,127.745755,4.5
창리교,지방도321호선,경기도,용인시 처인구,41461,경기도 용인시 처인구 남사면 방아리,37.124923,127.16549,37.124453,127.165602,2
천둔교,지방도329호선,경기도,안성시,41550,경기도 안성시 일죽면 송천리,37.088601,127.475222,37.088802,127.475244,3
청요교,지방도322호선,경기도,화성시,41590,경기도 화성시 비봉면 청요리,37.201978,126.892634,37.201847,126.892916,4.5
필산교,지방도306호선,경기도,안성시,41550,경기도 안성시 양성면 구장리,37.059307,127.206165,37.059149,127.206441,3
한운교,지방도302호선,경기도,안성시,41550,경기도 안성시 금광면 한운리,36.983299,127.332336,36.983402,127.332483,2.3
향소1교,지방도345호선,경기도,양평군,41830,경기도 양평군 단월면 향소리,37.570013,127.654594,37.570402,127.654428,4.5
화봉교,지방도329호선,경기도,안성시,41550,경기도 안성시 일죽면 송천리,37.089041,127.476802,37.089242,127.476882,3
화봉육교,지방도329호선,경기도,안성시,41550,경기도 안성시 일죽면 화봉리,37.053119,127.475325,37.053543,127.475682,6.5
화전교,지방도341호선,경기도,양평군,41830,경기도 양평군 용문면 마룡리,37.486565,127.607884,37.486923,127.606068,2.5
후촌교,지방도321호선,경기도,용인시 처인구,41461,경기도 용인시 처인구 남사면 방아리,37.11654,127.159858,37.116672,127.160429,3
흑천교,지방도342호선,경기도,양평군,41830,경기도 양평군 양평읍 회현리,37.467116,127.526631,37.465849,127.527881,6
학일교,지방도318호선,경기도,용인시 처인구,41461,경기도 용인시 처인구 원삼면 학일리,37.154928,127.276136,37.15493,127.276693,7
야광교,지방도318호선,경기도,용인시 처인구,41461,경기도 용인시 처인구 원삼면 독성리,37.157863,127.311503,37.157732,127.312199,6
문촌교,지방도318호선,경기도,용인시 처인구,41461,경기도 용인시 처인구 원삼면 문촌리,37.155036,127.299974,37.155255,127.300404,6
안화교,지방도315호선,경기도,평택시,41220,경기도 평택시 고덕면 동청리,37.02686,126.998481,37.026625,126.999516,5
무촌고가교,지방도337호선,경기도,이천시,41500,경기도 이천시 부발읍 무촌리,37.287739,127.491751,37.288731,127.491222,5
복하천교,지방도337호선,경기도,이천시,41500,경기도 이천시 갈산동,37.287492,127.474765,37.287633,127.477442,5
의병교,국가지원지방도70호선,경기도,양평군,41830,경기도 양평군 지평면 송현리,37.480452,127.626008,37.48038,127.626268,5.6
서탄대교,지방도306호선,경기도,평택시,41220,경기도 평택시 서탄면 회화리,37.09243,126.997689,37.093654,127.001777,2.5
진위1교,지방도306호선,경기도,평택시,41220,경기도 평택시 진위면 하북리,37.095278,127.051204,37.09444,127.053345,2.5
적봉교,지방도306호선,경기도,평택시,41220,경기도 평택시 서탄면 금암리,37.101242,127.038791,37.100052,127.040969,2.5
청미교,지방도318호선,경기도,용인시 처인구,41461,경기도 용인시 처인구 백암면 근삼리,37.144703,127.376735,37.145404,127.378151,2.5
목천1교,지방도306호선,경기도,평택시,41220,경기도 평택시 진위면 신리,37.091846,127.055705,37.092042,127.055652,2.5
만정2육교,지방도302호선,경기도,안성시,41550,경기도 안성시 공도읍 만정리,37.011067,127.184363,37.010671,127.184363,2.5
