,Unnamed: 0,station_code,agency_name,station_name,address,etc_address,longitude,latitude,location
0,87,10064030,환경부,양평군(양동주민자치센터),경기도 양평군,양동면 학둔지아래길 24 양동주민자치센터,127-45-05,37-25-28 ,"[127.75138888888888, 37.42444444444444]"
1,97,10074010,환경부,양평군(양평교),경기도 양평군,양평읍 양근리 양평교,127-29-24,37-29-11 ,"[127.49, 37.48638888888889]"
2,98,10074020,환경부,장호원,경기도 이천군 장호원읍,창전리 읍사무소,127-37-00,37-01-00 ,"[127.61666666666666, 37.016666666666666]"
3,99,10074030,환경부,여주시(여주대교),경기도 여주시,상동 여주대교 상류 좌안,127-38-53,37-17-43 ,"[127.64805555555556, 37.29527777777778]"
4,100,10074040,환경부,양평군(청운면사무소),경기도 양평군,청운면 용두로 170 청운면사무소,127-42-38,37-33-23 ,"[127.71055555555556, 37.55638888888888]"
5,102,10074060,환경부,이천시(이천남초교),경기도 이천시,경충대로 2614번길 32 이천남초등학교,127-26-35,37-16-37 ,"[127.44305555555556, 37.276944444444446]"
6,103,10074070,환경부,여주시(금당초교),경기도 여주시,가남읍 가남로 649 금당초등학교,127-36-20,37-11-51 ,"[127.60555555555555, 37.1975]"
7,104,10074080,환경부,안성시(삼죽초교),경기도 안성시,삼죽면 삼죽초교길 20 삼죽초등학교,127-22-28,37-04-36 ,"[127.37444444444444, 37.07666666666667]"
8,105,10074090,환경부,이천시(장천초교),경기도 이천시,설성면 설성로 164-25 장천초등학교,127-31-39,37-08-45 ,"[127.5275, 37.145833333333336]"
9,106,10074100,환경부,여주시(주암리),경기도 여주시,북내면 주암길225-3 (구)주암분교,127-40-46,37-23-50 ,"[127.67944444444444, 37.39722222222222]"
10,107,10074110,환경부,광주시(검천리),경기도 광주시,남종면 검천리 459,127-20-46,37-31-52 ,"[127.3461111111111, 37.53111111111111]"
11,108,10074120,환경부,여주시(상품중교),경기도 여주시,산북면 상품1길 28 상품중학교,127-26-23,37-24-07 ,"[127.43972222222223, 37.401944444444446]"
